"survey","hh_key","household_weight","region10","urban","hh_size","head_age","head_female","water_source_cat","cooking_fuel_cat","roof_material_cat","sleeping_rooms","floor_material_screen","floor_non_earth","members_total","female_members","children_under5","children_under15","adults_15plus","elders_65plus","has_electricity","toilet_type_screen","head_educ_cat","welfare","poverty_status","poverty_status_code","nhis_any_member_registered","nhis_any_missing","totexpeqsc_real","fdexpeqsc_real","nfexpeqsc_real","TOTHLTH","wealth_index","wealth_score"
"DHS2014","128_18",0.89317,7,1,1,30,1,"borehole_tube_well","gas_or_electricity","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,1,0,0,1,0,1,"pit_or_kvip","secondary_or_vocational",NA,NA,NA,1,0,NA,NA,NA,NA,4,0.64164
"DHS2014","342_23",1.052668,1,0,1,76,1,"surface_or_unprotected","gas_or_electricity","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,1,0,0,1,1,1,"pit_or_kvip","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,3,-0.07357
"DHS2014","291_3",0.60613,1,1,3,49,0,"protected_well_spring","gas_or_electricity","sheet_metal_asbestos_slate",2,"cement_or_finished",1,3,2,0,1,2,0,1,"flush_or_wc","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,5,1.30657
"DHS2014","8_20",1.557555,6,1,7,51,0,"piped_dwelling_or_yard","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,7,5,1,2,5,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,0,0,NA,NA,NA,NA,4,0.60347
"DHS2014","44_22",1.08474,9,0,2,28,0,"borehole_tube_well","gas_or_electricity","sheet_metal_asbestos_slate",2,"cement_or_finished",1,2,1,0,0,2,0,1,"pit_or_kvip","higher",NA,NA,NA,1,0,NA,NA,NA,NA,3,0.29383
"DHS2014","376_12",0.195436,8,0,4,28,0,"borehole_tube_well","wood","natural_thatch_bamboo",2,"cement_or_finished",1,4,3,1,2,2,0,0,"no_facility","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,1,-1.35393
"DHS2014","29_9",1.224071,6,1,1,41,1,"packaged_water","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,1,0,0,1,0,1,"pit_or_kvip","none_or_primary",NA,NA,NA,0,0,NA,NA,NA,NA,2,-0.63451
"DHS2014","24_33",0.430903,9,0,6,34,0,"surface_or_unprotected","other_biomass_or_solid","natural_thatch_bamboo",2,"earth_mud_dung",0,6,4,1,3,3,0,0,"no_facility","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,1,-1.64848
"DHS2014","185_29",0.367835,9,0,3,62,0,"borehole_tube_well","wood","cement_tile_shingle",3,"cement_or_finished",1,3,1,0,0,3,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,2,-0.63921
"DHS2014","277_25",1.089492,2,1,6,40,0,"public_or_neighbor_piped","gas_or_electricity","sheet_metal_asbestos_slate",2,"cement_or_finished",1,6,2,1,4,2,0,1,"pit_or_kvip","higher",NA,NA,NA,1,0,NA,NA,NA,NA,5,1.09563
"DHS2014","157_27",0.648265,7,0,6,64,0,"surface_or_unprotected","wood","sheet_metal_asbestos_slate",2,"cement_or_finished",1,6,5,0,2,4,0,0,"no_facility","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,1,-1.05958
"DHS2014","310_18",0.351848,10,0,1,45,0,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",1,"earth_mud_dung",0,1,0,0,0,1,0,1,"no_facility","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,2,-0.33301
"DHS2014","382_19",3.413079,3,1,5,25,0,"packaged_water","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,5,2,0,2,3,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,4,0.89537
"DHS2014","334_17",1.321993,5,0,1,40,0,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,0,0,0,1,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,0,0,NA,NA,NA,NA,3,-0.11473
"DHS2014","168_9",0.995445,1,1,1,23,1,"packaged_water","gas_or_electricity","cement_tile_shingle",1,"cement_or_finished",1,1,1,0,0,1,0,1,"flush_or_wc","higher",NA,NA,NA,1,0,NA,NA,NA,NA,4,0.82541
"DHS2014","295_24",0.85064,2,0,5,48,0,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,5,1,0,2,3,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,3,0.2911
"DHS2014","180_28",0.757196,7,0,4,30,0,"borehole_tube_well","wood","natural_thatch_bamboo",1,"earth_mud_dung",0,4,1,1,2,2,0,0,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,3,-0.09173
"DHS2014","214_28",0.46963,9,0,3,33,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,3,2,0,0,3,1,0,"no_facility","higher",NA,NA,NA,1,0,NA,NA,NA,NA,1,-1.18054
"DHS2014","154_6",0.932208,7,1,1,32,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,0,0,0,1,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,3,0.23329
"DHS2014","249_5",1.602924,4,1,4,42,0,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",2,"cement_or_finished",1,4,1,2,2,2,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,3,0.09037
"DHS2014","210_8",0.862902,5,0,5,46,0,"public_or_neighbor_piped","wood","sheet_metal_asbestos_slate",2,"cement_or_finished",1,5,2,0,4,1,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,3,-0.07481
"DHS2014","155_1",1.575978,6,0,2,70,1,"borehole_tube_well","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,2,1,0,1,1,1,1,"pit_or_kvip","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,2,-0.70667
"DHS2014","131_28",0.844386,4,0,1,21,0,"borehole_tube_well","no_cooking","natural_thatch_bamboo",1,"cement_or_finished",1,1,0,0,0,1,0,1,"no_facility","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,2,-0.6963
"DHS2014","397_16",0.908162,4,1,5,37,0,"public_or_neighbor_piped","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,5,3,1,3,2,0,1,"no_facility","secondary_or_vocational",NA,NA,NA,1,0,NA,NA,NA,NA,3,-0.06585
"DHS2014","18_13",0.536047,4,0,1,24,1,"piped_dwelling_or_yard","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,1,0,0,1,0,1,"pit_or_kvip","higher",NA,NA,NA,1,0,NA,NA,NA,NA,4,0.37002
