"survey","hh_key","household_weight","region10","urban","hh_size","head_age","head_female","water_source_cat","cooking_fuel_cat","roof_material_cat","sleeping_rooms","floor_material_screen","floor_non_earth","members_total","female_members","children_under5","children_under15","adults_15plus","elders_65plus","has_electricity","toilet_type_screen","head_educ_cat","welfare","poverty_status","poverty_status_code","nhis_any_member_registered","nhis_any_missing","totexpeqsc_real","fdexpeqsc_real","nfexpeqsc_real","TOTHLTH","wealth_index","wealth_score"
"GLSS6","61015/15",54.4533309936523,9,0,7,57,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",4,"cement_or_finished",1,7,4,0,1,6,0,0,"no_facility","none_or_primary",2031.30651855469,"Non poor",2,1,0,5.5652232170105,2.45169925689697,3.11352396011353,17.5200004577637,NA,NA
"GLSS6","60150/04",383.126586914062,2,0,3,60,1,"surface_or_unprotected","wood","sheet_metal_asbestos_slate",2,"cement_or_finished",1,3,2,1,1,2,0,1,"pit_or_kvip","none_or_primary",1565.53405761719,"Non poor",2,1,0,4.28913450241089,3.42258596420288,0.866548538208008,0,NA,NA
"GLSS6","60228/12",579.608459472656,2,0,2,53,1,"borehole_tube_well","wood","sheet_metal_asbestos_slate",2,"cement_or_finished",1,2,2,0,0,2,0,0,"pit_or_kvip","none_or_primary",4163.29541015625,"Non poor",2,0,0,11.406289100647,8.91604137420654,2.49024772644043,0,NA,NA
"GLSS6","60704/04",500.965881347656,6,1,1,22,0,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,0,0,0,1,0,0,"pit_or_kvip","basic_or_middle",6758.61865234375,"Non poor",2,1,0,18.5167636871338,14.4469528198242,4.06981086730957,0,NA,NA
"GLSS6","61116/11",49.0580940246582,10,0,6,40,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",2,"cement_or_finished",1,6,2,2,4,2,0,1,"no_facility","none_or_primary",2468.26220703125,"Non poor",2,1,0,6.76236248016357,6.10116386413574,0.661198616027832,0,NA,NA
"GLSS6","61187/05",100.066558837891,10,0,3,50,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",3,"earth_mud_dung",0,3,1,0,0,3,0,0,"no_facility","basic_or_middle",904.274536132812,"Poor",1,1,0,2.47746443748474,0.848635017871857,1.62882947921753,0,NA,NA
"GLSS6","61018/04",49.0554618835449,9,0,8,43,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",2,"cement_or_finished",1,8,6,2,5,3,0,0,"no_facility","none_or_primary",1243.23583984375,"Poor",1,1,0,3.40612554550171,2.00876545906067,1.39736008644104,43.8000030517578,NA,NA
"GLSS6","60574/15",508.486755371094,5,1,1,75,1,"public_or_neighbor_piped","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,1,0,0,1,1,0,"pit_or_kvip","none_or_primary",4185.01708984375,"Non poor",2,1,0,11.465799331665,6.83810997009277,4.62768936157227,0,NA,NA
"GLSS6","60545/10",195.331161499023,5,1,1,38,0,"public_or_neighbor_piped","gas_or_electricity","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,0,0,0,1,0,1,"flush_or_wc","none_or_primary",2717.32055664062,"Non poor",2,0,0,7.44471406936646,2.86676335334778,4.5779504776001,0,NA,NA
"GLSS6","60797/06",448.453491210938,7,0,4,31,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,4,2,1,2,2,0,0,"pit_or_kvip","none_or_primary",1131.80651855469,"Poor",1,1,0,3.10083985328674,2.13354635238647,0.967293500900269,20.8400001525879,NA,NA
